,Price,Area (m²),Number of rooms,Address,Heating,Market,Advertiser type,Building type,Year of construction,Windows,Building material,type,voivodeship,offer year
1603,229900.0,24.9,2.0,"ul. Ludowa, Piła, pilski, wielkopolskie",miejskie,wtórny,prywatny,blok,1980,plastikowe,wielka płyta,studio,wielkopolskie,2025
1604,606975.0,34.73,2.0,"ul. Dworska, Zagórze Północ, Sosnowiec, śląskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,śląskie,2025
1605,285463.0,25.09,2.0,"Śródmieście, Gdańsk, pomorskie",miejskie,pierwotny,biuro nieruchomości,blok,2025,plastikowe,cegła,studio,pomorskie,2025
1606,633750.0,33.75,2.0,"ul. Srebrzyńska, Zdrowie, Polesie, Łódź, łódzkie",inne,pierwotny,deweloper,blok,2027,plastikowe,cegła,studio,łódzkie,2025
1607,185000.0,32.1,2.0,"ul. Kościuszki, Chrzanów, Chrzanów, chrzanowski, małopolskie",miejskie,wtórny,biuro nieruchomości,blok,1980,plastikowe,wielka płyta,studio,małopolskie,2025
1608,318000.0,36.08,2.0,"ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,dolnośląskie,2025
1609,812920.0,44.5,2.0,"ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,pomorskie,2025
1610,269000.0,19.0,2.0,"ul. Stanisława Staszica, Gen. Grota-Roweckiego, Rzeszów, podkarpackie",miejskie,pierwotny,biuro nieruchomości,blok,1980,plastikowe,wielka płyta,studio,podkarpackie,2025
1611,423666.6666666667,25.23,2.0,"ul. Nasyp, Śródmieście, Gliwice, śląskie",inne,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,śląskie,2025
1612,918371.0,47.81,2.3333333333333335,"ul. Stawowa, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,aluminiowe,inny,studio,dolnośląskie,2025
1613,306000.0,41.7,2.0,"ul. Bukowa, Kutno, kutnowski, łódzkie",miejskie,pierwotny,deweloper,blok,2024,plastikowe,cegła,studio,łódzkie,2025
1614,233000.0,34.0,2.0,"ul. Stefana Batorego, Hajnówka, hajnowski, podlaskie",miejskie,wtórny,prywatny,blok,2009,plastikowe,pustak,studio,podlaskie,2025
1615,1286433.3333333333,41.94,2.0,"ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,łódzkie,2025
